"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-04-06,"GM","Germany",2867264.20059749,"point",NA,"22 day ahead cum case"
2021-03-15,2021-04-07,"GM","Germany",2880566.36049818,"point",NA,"23 day ahead cum case"
2021-03-15,2021-04-08,"GM","Germany",2893822.2849403,"point",NA,"24 day ahead cum case"
2021-03-15,2021-04-09,"GM","Germany",2907027.84203381,"point",NA,"25 day ahead cum case"
2021-03-15,2021-04-10,"GM","Germany",2920179.35134028,"point",NA,"26 day ahead cum case"
2021-03-15,2021-04-11,"GM","Germany",2933273.5406546,"point",NA,"27 day ahead cum case"
2021-03-15,2021-04-12,"GM","Germany",2946315.03864057,"point",NA,"28 day ahead cum case"
2021-03-15,2021-04-13,"GM","Germany",2959311.3212318,"point",NA,"29 day ahead cum case"
2021-03-15,2021-04-14,"GM","Germany",2972244.15578111,"point",NA,"30 day ahead cum case"
2021-03-15,2021-04-15,"GM","Germany",2985111.43897801,"point",NA,"31 day ahead cum case"
2021-03-15,2021-04-16,"GM","Germany",2997911.31294075,"point",NA,"32 day ahead cum case"
2021-03-15,2021-04-17,"GM","Germany",3010642.14227699,"point",NA,"33 day ahead cum case"
2021-03-15,2021-04-18,"GM","Germany",3023302.49332742,"point",NA,"34 day ahead cum case"
2021-03-15,2021-04-19,"GM","Germany",3035898.22588067,"point",NA,"35 day ahead cum case"
2021-03-15,2021-04-20,"GM","Germany",3048446.16593821,"point",NA,"36 day ahead cum case"
2021-03-15,2021-04-21,"GM","Germany",3060922.62799747,"point",NA,"37 day ahead cum case"
2021-03-15,2021-04-22,"GM","Germany",3073326.80129338,"point",NA,"38 day ahead cum case"
2021-03-15,2021-04-23,"GM","Germany",3085657.99704335,"point",NA,"39 day ahead cum case"
2021-03-15,2021-04-24,"GM","Germany",3097915.63726538,"point",NA,"40 day ahead cum case"
2021-03-15,2021-04-25,"GM","Germany",3110099.24466012,"point",NA,"41 day ahead cum case"
2021-03-15,2021-04-26,"GM","Germany",3122208.43345596,"point",NA,"42 day ahead cum case"
2021-03-15,2021-04-27,"GM","Germany",3134242.90112514,"point",NA,"43 day ahead cum case"
2021-03-15,2021-04-28,"GM","Germany",3146202.42088835,"point",NA,"44 day ahead cum case"
2021-03-15,2021-04-29,"GM","Germany",3158086.81441224,"point",NA,"45 day ahead cum case"
2021-03-15,2021-04-30,"GM","Germany",3169895.91556922,"point",NA,"46 day ahead cum case"
2021-03-15,2021-05-01,"GM","Germany",3181601.76185222,"point",NA,"47 day ahead cum case"
2021-03-15,2021-05-02,"GM","Germany",3193173.65276795,"point",NA,"48 day ahead cum case"
2021-03-15,2021-05-03,"GM","Germany",3204667.57779738,"point",NA,"49 day ahead cum case"
2021-03-15,2021-05-04,"GM","Germany",3216083.73709538,"point",NA,"50 day ahead cum case"
2021-03-15,2021-05-05,"GM","Germany",3227422.36704006,"point",NA,"51 day ahead cum case"
2021-03-15,2021-05-06,"GM","Germany",3238683.73660738,"point",NA,"52 day ahead cum case"
2021-03-15,2021-05-07,"GM","Germany",3249868.14409062,"point",NA,"53 day ahead cum case"
2021-03-15,2021-05-08,"GM","Germany",3260975.91413218,"point",NA,"54 day ahead cum case"
2021-03-15,2021-05-09,"GM","Germany",3272007.39503772,"point",NA,"55 day ahead cum case"
2021-03-15,2021-05-10,"GM","Germany",3282962.95634596,"point",NA,"56 day ahead cum case"
2021-03-15,2021-05-11,"GM","Germany",3293842.96512017,"point",NA,"57 day ahead cum case"
