"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-03-15,2021-04-03,"GM","Germany",77284.3907252123,"point",NA,"19 day ahead cum death"
2021-03-15,2021-04-04,"GM","Germany",77476.499916932,"point",NA,"20 day ahead cum death"
2021-03-15,2021-04-05,"GM","Germany",77668.8274991131,"point",NA,"21 day ahead cum death"
2021-03-15,2021-04-06,"GM","Germany",77861.2457228613,"point",NA,"22 day ahead cum death"
2021-03-15,2021-04-07,"GM","Germany",78053.6551782097,"point",NA,"23 day ahead cum death"
2021-03-15,2021-04-08,"GM","Germany",78246.0401790007,"point",NA,"24 day ahead cum death"
2021-03-15,2021-04-09,"GM","Germany",78438.3625798309,"point",NA,"25 day ahead cum death"
2021-03-15,2021-04-10,"GM","Germany",78630.5804245692,"point",NA,"26 day ahead cum death"
2021-03-15,2021-04-11,"GM","Germany",78822.6502137892,"point",NA,"27 day ahead cum death"
2021-03-15,2021-04-12,"GM","Germany",79014.5270526715,"point",NA,"28 day ahead cum death"
2021-03-15,2021-04-13,"GM","Germany",79206.5360728648,"point",NA,"29 day ahead cum death"
2021-03-15,2021-04-14,"GM","Germany",79398.9732995914,"point",NA,"30 day ahead cum death"
2021-03-15,2021-04-15,"GM","Germany",79590.9919643217,"point",NA,"31 day ahead cum death"
2021-03-15,2021-04-16,"GM","Germany",79782.5065030079,"point",NA,"32 day ahead cum death"
2021-03-15,2021-04-17,"GM","Germany",79973.4719722658,"point",NA,"33 day ahead cum death"
2021-03-15,2021-04-18,"GM","Germany",80163.8763598059,"point",NA,"34 day ahead cum death"
2021-03-15,2021-04-19,"GM","Germany",80353.7051550716,"point",NA,"35 day ahead cum death"
2021-03-15,2021-04-20,"GM","Germany",80542.9407823911,"point",NA,"36 day ahead cum death"
2021-03-15,2021-04-21,"GM","Germany",80732.624784236,"point",NA,"37 day ahead cum death"
2021-03-15,2021-04-22,"GM","Germany",80926.7623331765,"point",NA,"38 day ahead cum death"
2021-03-15,2021-04-23,"GM","Germany",81113.9087494202,"point",NA,"39 day ahead cum death"
2021-03-15,2021-04-24,"GM","Germany",81307.5298836376,"point",NA,"40 day ahead cum death"
2021-03-15,2021-04-25,"GM","Germany",81500.4959729761,"point",NA,"41 day ahead cum death"
2021-03-15,2021-04-26,"GM","Germany",81685.7146591035,"point",NA,"42 day ahead cum death"
2021-03-15,2021-04-27,"GM","Germany",81869.9851340445,"point",NA,"43 day ahead cum death"
2021-03-15,2021-04-28,"GM","Germany",82053.2542609506,"point",NA,"44 day ahead cum death"
2021-03-15,2021-04-29,"GM","Germany",82239.1229357,"point",NA,"45 day ahead cum death"
2021-03-15,2021-04-30,"GM","Germany",82432.9289959285,"point",NA,"46 day ahead cum death"
2021-03-15,2021-05-01,"GM","Germany",82626.3996194688,"point",NA,"47 day ahead cum death"
2021-03-15,2021-05-02,"GM","Germany",82819.4968845718,"point",NA,"48 day ahead cum death"
2021-03-15,2021-05-03,"GM","Germany",83008.9166973678,"point",NA,"49 day ahead cum death"
2021-03-15,2021-05-04,"GM","Germany",83188.0996885542,"point",NA,"50 day ahead cum death"
2021-03-15,2021-05-05,"GM","Germany",83366.2391852192,"point",NA,"51 day ahead cum death"
2021-03-15,2021-05-06,"GM","Germany",83543.3250136926,"point",NA,"52 day ahead cum death"
